Academic + Campus Events,http://www.ace.utoronto.ca
Academic Integrity,http://academicintegrity.utoronto.ca/
"Academic Programs, Office of the Vice-Provost",http://vpacademic.utoronto.ca/
Academic Skills Centre,http://www.utm.utoronto.ca/asc/
Academic Success Centre,http://www.asc.utoronto.ca/
AccessAbility Resource Centre,http://www.utm.utoronto.ca/accessability/
Accessibility for Ontarians with Disabilities Act (AODA) Office,http://www.hrandequity.utoronto.ca/about-hr-equity/diversity/aoda.htm
Accessibility Services,http://www.accessibility.utoronto.ca/
Administrative Management Systems,http://www.ams.utoronto.ca/
Alumni & Friends,http://www.utsc.utoronto.ca/~advancement/alumni/
Alumni Relations,http://www.utm.utoronto.ca/alumni
"Anatomy, Division of",http://anatomy.utoronto.ca/
Ancillary Services,http://www.ancillary.utoronto.ca/
Andrea and Charles Bronfman Chair in Israeli Studies,http://munkschool.utoronto.ca/bronfmanchair/
"Anesthesia, Department of",http://www.anesthesia.utoronto.ca/
Anne Tanenbaum Centre for Jewish Studies,http://www.cjs.utoronto.ca
"Anthropology, Department of",https://www.utm.utoronto.ca/anthropology/home
"Anthropology, Department of",http://anthropology.utoronto.ca/
"Anthropology, Department of",http://www.utsc.utoronto.ca/~anthropology/
Anti-Racism and Cultural Diversity Office,http://www.antiracism.utoronto.ca/
"Applied Psychology and Human Development, Department of",http://www.oise.utoronto.ca/aphd/Home/index.html
"Applied Science and Engineering, Faculty of",http://www.engineering.utoronto.ca/
Archaeology Centre,http://www.archaeology.utoronto.ca
Archaeology Centre,http://www.archaeology.utoronto.ca/
"Archaeology, Department of",http://anthropology.utoronto.ca/home/about/archaeology/
"Architecture, Landscape and Design, John H. Daniels Faculty of",http://www.daniels.utoronto.ca/
Archives and Records Management Services,http://utarms.library.utoronto.ca/
"Art, Graduate Department of",http://www.art.utoronto.ca/
Art Library,http://www.art.utoronto.ca/resources/art-library
"Arts, Culture and Media, Department of",http://www.utsc.utoronto.ca/acm/
"Arts and Science, Faculty of",http://www.artsci.utoronto.ca/
Asian Institute,http://munkschool.utoronto.ca/ai/
Association of Part-time Undergraduate Students,http://www.apus.utoronto.ca/
"Astronomy and Astrophysics, Department of",http://www.astro.utoronto.ca/
Astronomy and Astrophysics Library,http://www.astro.utoronto.ca/AALibrary/
Athletic Centre,http://www.physical.utoronto.ca/FacilitiesAndMemberships/Athletic_Centre.aspx
Athletics,http://www.athletics.utoronto.ca/
Athletics & Recreation,http://www.utsc.utoronto.ca/~athletics/
Atkinson Centre for Society and Child Development,http://www.oise.utoronto.ca/atkinson/Main/index.html
Audio Visual Services,http://ctl.utsc.utoronto.ca/technology/
